Action,Date,Number of Stocks,Price per Stock,Cash Flow
BUY,2021-11-10 00:00:00,70.45,145.38,-10242.3
HOLD for 4 days,,,,
SELL,2021-11-17 00:00:00,-70.45,150.85,10627.98
STAY for 20 days,,,,
BUY,2021-12-17 00:00:00,63.19,168.2,-10627.98
HOLD for 20 days,,,,
SELL,2022-01-19 00:00:00,-63.19,163.37,10323.07
STAY for 6 days,,,,
BUY,2022-01-28 00:00:00,61.67,167.4,-10323.07
HOLD for 1 days,,,,
SELL,2022-02-01 00:00:00,-61.67,171.61,10582.46
STAY for 11 days,,,,
BUY,2022-02-17 00:00:00,63.68,166.19,-10582.46
HOLD for 2 days,,,,
SELL,2022-02-23 00:00:00,-63.68,157.52,10030.41
BUY,2022-02-24 00:00:00,62.63,160.15,-10030.41
HOLD for 7 days,,,,
SELL,2022-03-08 00:00:00,-62.63,154.93,9703.74
BUY,2022-03-09 00:00:00,60.52,160.35,-9703.74
HOLD for 6 days,,,,
SELL,2022-03-18 00:00:00,-60.52,161.37,9765.08
STAY for 14 days,,,,
BUY,2022-04-08 00:00:00,58.34,167.38,-9765.08
HOLD for 9 days,,,,
SELL,2022-04-25 00:00:00,-58.34,160.28,9351.15
STAY for 2 days,,,,
BUY,2022-04-28 00:00:00,58.07,161.03,-9351.15
HOLD for 17 days,,,,
SELL,2022-05-24 00:00:00,-58.07,138.32,8032.6
BUY,2022-05-25 00:00:00,58.0,138.48,-8032.6
HOLD for 1 days,,,,
SELL,2022-05-27 00:00:00,-58.0,147.47,8553.93
STAY for 81 days,,,,
BUY,2022-09-26 00:00:00,57.49,148.79,-8553.93
HOLD for 3 days,,,,
SELL,2022-09-30 00:00:00,-57.49,136.39,7840.77
BUY,2022-10-03 00:00:00,55.77,140.58,-7840.77
HOLD for 3 days,,,,
SELL,2022-10-07 00:00:00,-55.77,138.25,7710.87
STAY for 125 days,,,,
BUY,2023-04-11 00:00:00,48.44,159.19,-7710.87
HOLD for 5 days,,,,
SELL,2023-04-19 00:00:00,-48.44,165.96,8038.39
BUY,2023-04-20 00:00:00,48.72,164.99,-8038.39
HOLD for 6 days,,,,
SELL,2023-05-01 00:00:00,-48.72,167.9,8180.21
BUY,2023-05-02 00:00:00,49.03,166.86,-8180.21
HOLD for 2 days,,,,
SELL,2023-05-05 00:00:00,-49.03,171.84,8424.34
STAY for 6 days,,,,
BUY,2023-05-16 00:00:00,49.38,170.59,-8424.34
HOLD for 1 days,,,,
SELL,2023-05-18 00:00:00,-49.38,173.54,8570.24
STAY for 1 days,,,,
BUY,2023-05-22 00:00:00,49.63,172.7,-8570.24
HOLD for 5 days,,,,
SELL,2023-05-31 00:00:00,-49.63,175.72,8720.29
STAY for 16 days,,,,
BUY,2023-06-26 00:00:00,47.48,183.67,-8720.29
SELL,2023-06-27 00:00:00,-47.48,186.44,8851.61
STAY for 7 days,,,,
BUY,2023-07-10 00:00:00,47.34,186.99,-8851.61
HOLD for 18 days,,,,
SELL,2023-08-04 00:00:00,-47.34,180.42,8540.93
STAY for 12 days,,,,
BUY,2023-08-23 00:00:00,47.5,179.8,-8540.93
HOLD for 1 days,,,,
SELL,2023-08-25 00:00:00,-47.5,177.31,8422.56
STAY for 9 days,,,,
BUY,2023-09-11 00:00:00,47.3,178.05,-8422.56
HOLD for 7 days,,,,
SELL,2023-09-21 00:00:00,-47.3,172.66,8167.58
STAY for 2 days,,,,
BUY,2023-09-26 00:00:00,47.85,170.71,-8167.58
HOLD for 5 days,,,,
SELL,2023-10-04 00:00:00,-47.85,172.4,8248.32
STAY for 11 days,,,,
BUY,2023-10-20 00:00:00,48.06,171.62,-8248.32
HOLD for 3 days,,,,
SELL,2023-10-26 00:00:00,-48.06,165.68,7962.53
STAY for 1 days,,,,
BUY,2023-10-30 00:00:00,47.1,169.05,-7962.53
SELL,2023-10-31 00:00:00,-47.1,169.53,7984.98
BUY,2023-11-01 00:00:00,46.23,172.7,-7984.98
SELL,2023-11-02 00:00:00,-46.23,176.28,8150.21
STAY for 18 days,,,,
BUY,2023-11-30 00:00:00,43.16,188.82,-8150.21
HOLD for 5 days,,,,
SELL,2023-12-08 00:00:00,-43.16,194.54,8397.36
BUY,2023-12-11 00:00:00,43.73,192.03,-8397.36
HOLD for 1 days,,,,
SELL,2023-12-13 00:00:00,-43.73,196.78,8605.14
STAY for 3 days,,,,
BUY,2023-12-19 00:00:00,43.96,195.76,-8605.14
HOLD for 8 days,,,,
SELL,2024-01-03 00:00:00,-43.96,183.15,8050.66
STAY for 9 days,,,,
BUY,2024-01-18 00:00:00,42.94,187.5,-8050.66
SELL,2024-01-19 00:00:00,-42.94,190.42,8175.71
STAY for 7 days,,,,
BUY,2024-01-31 00:00:00,44.6,183.3,-8175.71
HOLD for 8 days,,,,
SELL,2024-02-13 00:00:00,-44.6,184.17,8214.55
STAY for 1 days,,,,
BUY,2024-02-15 00:00:00,44.89,183.0,-8214.55
SELL,2024-02-16 00:00:00,-44.89,181.45,8145.3
BUY,2024-02-20 00:00:00,45.07,180.71,-8145.3
HOLD for 5 days,,,,
SELL,2024-02-28 00:00:00,-45.07,180.57,8139.02
STAY for 7 days,,,,
BUY,2024-03-11 00:00:00,47.34,171.94,-8139.02
HOLD for 1 days,,,,
SELL,2024-03-13 00:00:00,-47.34,170.33,8062.69
STAY for 70 days,,,,
BUY,2024-06-25 00:00:00,38.69,208.37,-8062.69
HOLD for 4 days,,,,
SELL,2024-07-02 00:00:00,-38.69,219.53,8494.62
STAY for 10 days,,,,
BUY,2024-07-18 00:00:00,38.02,223.43,-8494.62
HOLD for 7 days,,,,
SELL,2024-07-30 00:00:00,-38.02,218.07,8290.76
BUY,2024-07-31 00:00:00,37.46,221.34,-8290.76
HOLD for 1 days,,,,
SELL,2024-08-02 00:00:00,-37.46,219.12,8207.88
STAY for 3 days,,,,
BUY,2024-08-08 00:00:00,38.61,212.6,-8207.88
HOLD for 3 days,,,,
SELL,2024-08-14 00:00:00,-38.61,221.23,8541.36
STAY for 13 days,,,,
BUY,2024-09-04 00:00:00,38.76,220.37,-8541.36
HOLD for 8 days,,,,
SELL,2024-09-17 00:00:00,-38.76,216.31,8384.34
BUY,2024-09-18 00:00:00,38.08,220.21,-8384.34
HOLD for 1 days,,,,
SELL,2024-09-20 00:00:00,-38.08,227.7,8669.66
STAY for 10 days,,,,
BUY,2024-10-07 00:00:00,39.19,221.2,-8669.66
HOLD for 2 days,,,,
SELL,2024-10-10 00:00:00,-39.19,228.54,8957.09
STAY for 10 days,,,,
BUY,2024-10-25 00:00:00,38.79,230.9,-8957.09
HOLD for 5 days,,,,
SELL,2024-11-04 00:00:00,-38.79,221.52,8593.25
BUY,2024-11-05 00:00:00,38.54,222.96,-8593.25
HOLD for 9 days,,,,
SELL,2024-11-19 00:00:00,-38.54,228.03,8788.66
STAY for 26 days,,,,
BUY,2024-12-30 00:00:00,34.89,251.92,-8788.66
HOLD for 7 days,,,,
SELL,2025-01-13 00:00:00,-34.89,234.14,8168.36
STAY for 8 days,,,,
BUY,2025-01-27 00:00:00,35.58,229.61,-8168.36
HOLD for 1 days,,,,
SELL,2025-01-29 00:00:00,-35.58,239.1,8505.96
STAY for 21 days,,,,
BUY,2025-03-03 00:00:00,35.73,238.03,-8505.96
HOLD for 4 days,,,,
SELL,2025-03-10 00:00:00,-35.73,227.48,8128.96
STAY for 9 days,,,,
BUY,2025-03-24 00:00:00,36.83,220.73,-8128.96
SELL,2025-03-25 00:00:00,-36.83,223.75,8240.18
STAY for 6 days,,,,
BUY,2025-04-03 00:00:00,40.55,203.19,-8240.18
HOLD for 1 days,,,,
SELL,2025-04-07 00:00:00,-40.55,181.46,7358.94
