Strategy Name,Ticker,Model Name,Model Number,Feature Set ID,Accuracy,Precision,Recall,F1 Score,Confusion Matrix
random_forest,META,rf,4,FS_4,0.3883,0.4237,0.3883,0.3997,"33    37    50
16    24    27
54    57    96"
xgboost,META,xgb,4,FS_4,0.3629,0.4066,0.3629,0.3778,"33    39    48
20    21    26
59    59    89"
logistic_regression,ORCL,lr,4,FS_4,0.3857,0.3886,0.3857,0.3838,"46    35    36
67    49    50
33    45    72"
random_forest,ORCL,rf,4,FS_4,0.368,0.3598,0.368,0.3596,"26    36    42
39    42    65
28    39    77"
xgboost,ORCL,xgb,4,FS_4,0.3807,0.3781,0.3807,0.3769,"32    37    35
44    44    58
34    36    74"
logistic_regression,ADBE,lr,4,FS_4,0.4018,0.471,0.4018,0.4063,"24    51    49
11    49    19
28    101    101"
random_forest,ADBE,rf,4,FS_4,0.4442,0.4912,0.4442,0.4503,"32    30    47
17    46    12
38    75    97"
xgboost,ADBE,xgb,4,FS_4,0.4416,0.4892,0.4416,0.449,"37    28    44
19    45    11
54    64    92"
logistic_regression,TSLA,lr,4,FS_4,0.4249,0.5614,0.4249,0.4453,"7    50    70
0    15    4
13    112    162"
random_forest,TSLA,rf,4,FS_4,0.5863,0.5604,0.5863,0.5719,"28    2    75
4    1    14
62    6    202"
xgboost,TSLA,xgb,4,FS_4,0.5228,0.5393,0.5228,0.5285,"35    1    69
6    1    12
94    6    170"
logistic_regression,AMD,lr,4,FS_4,0.4942,0.5009,0.4942,0.4899,"71    0    75
20    2    12
105    7    141"
random_forest,AMD,rf,4,FS_4,0.4898,0.4866,0.4898,0.4854,"51    6    79
7    5    18
88    3    137"
xgboost,AMD,xgb,4,FS_4,0.434,0.4366,0.434,0.435,"46    10    80
6    4    20
95    12    121"
logistic_regression,NVDA,lr,4,FS_4,0.2448,0.4181,0.2448,0.2713,"25    76    35
1    24    13
67    135    57"
random_forest,NVDA,rf,4,FS_4,0.4036,0.4466,0.4036,0.4208,"32    14    67
8    9    20
77    49    118"
xgboost,NVDA,xgb,4,FS_4,0.368,0.4159,0.368,0.3867,"26    18    69
9    9    19
89    45    110"
logistic_regression,QQQ,lr,4,FS_4,0.4342,0.4617,0.4342,0.3969,"23    52    26
15    119    10
31    111    46"
random_forest,QQQ,rf,4,FS_4,0.4239,0.4687,0.4239,0.4151,"46    20    20
31    77    21
85    50    44"
xgboost,QQQ,xgb,4,FS_4,0.4061,0.4426,0.4061,0.3914,"48    22    16
29    74    26
89    52    38"
logistic_regression,MSFT,lr,5,FS_5,0.4365,0.505,0.4365,0.4338,"79    15    20
52    37    23
103    31    73"
random_forest,MSFT,rf,5,FS_5,0.4036,0.4676,0.4036,0.3845,"74    4    23
58    15    31
104    15    70"
xgboost,MSFT,xgb,5,FS_5,0.3655,0.4677,0.3655,0.3497,"73    6    22
81    13    10
111    20    58"
logistic_regression,AAPL,lr,5,FS_5,0.2679,0.3707,0.2679,0.204,"49    39    18
21    52    0
127    112    15"
random_forest,AAPL,rf,5,FS_5,0.2944,0.4054,0.2944,0.2311,"79    0    7
52    0    19
200    0    37"
xgboost,AAPL,xgb,5,FS_5,0.2868,0.3648,0.2868,0.2256,"76    0    10
47    0    24
200    0    37"
logistic_regression,GOOG,lr,5,FS_5,0.418,0.4601,0.418,0.4127,"62    10    48
65    18    27
89    13    101"
random_forest,GOOG,rf,5,FS_5,0.3122,0.3755,0.3122,0.2499,"83    0    16
102    0    5
148    0    40"
xgboost,GOOG,xgb,5,FS_5,0.3147,0.4998,0.3147,0.2564,"82    0    17
99    1    7
146    1    41"
logistic_regression,META,lr,5,FS_5,0.2309,0.4607,0.2309,0.1707,"6    124    6
1    71    3
25    174    23"
random_forest,META,rf,5,FS_5,0.3655,0.3705,0.3655,0.3452,"66    3    51
44    1    22
122    8    77"
xgboost,META,xgb,5,FS_5,0.3706,0.4163,0.3706,0.3495,"79    6    35
45    5    17
133    12    62"
logistic_regression,ORCL,lr,5,FS_5,0.4088,0.424,0.4088,0.399,"55    24    38
62    41    63
46    23    81"
random_forest,ORCL,rf,5,FS_5,0.2944,0.5297,0.2944,0.1967,"97    5    2
137    7    2
130    2    12"
xgboost,ORCL,xgb,5,FS_5,0.3198,0.6596,0.3198,0.234,"93    0    11
134    1    11
112    0    32"
logistic_regression,ADBE,lr,5,FS_5,0.4758,0.4804,0.4758,0.472,"43    4    77
29    22    28
70    19    141"
random_forest,ADBE,rf,5,FS_5,0.3706,0.4304,0.3706,0.3373,"80    0    29
71    0    4
144    0    66"
xgboost,ADBE,xgb,5,FS_5,0.3706,0.4349,0.3706,0.3349,"82    0    27
71    0    4
146    0    64"
logistic_regression,TSLA,lr,5,FS_5,0.2656,0.5459,0.2656,0.2357,"73    41    13
7    12    0
191    66    30"
random_forest,TSLA,rf,5,FS_5,0.3046,0.5339,0.3046,0.2235,"95    1    9
15    1    3
232    14    24"
xgboost,TSLA,xgb,5,FS_5,0.2792,0.4999,0.2792,0.1738,"96    1    8
18    1    0
250    7    13"
logistic_regression,AMD,lr,5,FS_5,0.5404,0.4792,0.5404,0.504,"45    0    101
10    0    24
64    0    189"
random_forest,AMD,rf,5,FS_5,0.5457,0.4338,0.5457,0.4466,"9    4    123
5    0    25
18    4    206"
xgboost,AMD,xgb,5,FS_5,0.5838,0.5352,0.5838,0.4446,"4    0    132
1    0    29
2    0    226"
